"L","B"
0.007457038,1e-04
0.01478807,0.004314936
0.060329673,0.034283227
0.094839914,0.066916748
0.143721627,0.094878863
0.237258204,0.16730845
0.386910592,0.237400261
0.695789509,0.380058444
1.028938412,0.482970301
1.783723088,0.635008601
2.542785548,0.686410644
4.046500944,0.758852666
8.1233378,0.845267456
12.01284899,0.898998984
16.50817694,0.962123065
