"L","B"
0.024824002,0.075794621
0.048660827,0.166259169
0.070170383,0.234718826
0.101187812,0.322738386
0.139184138,0.398533007
0.18478498,0.39608802
0.292864456,0.542787286
0.437547938,0.630806846
0.744380301,0.75794621
1.048365741,0.860635697
2.424462017,0.943765281
5.348169072,0.91198044
8.376776401,0.975550122
16.22767907,0.921760391
