,107k,1200K,120k,12k,1600k,187K,20K,231k,24k,256K,387k,43k,447k,46K,502k,82k,92k,[egf]
100,,,,,,,,,,,,,,0.26554140000000004,,,,0.1586307
101,,,,,,,,,,,,,,0.3588522,,,,0.2536876
102,,,,,,,,,,,,,,0.4573236,,,,0.40572909999999995
103,,,,,,,,,,,,,,0.6487841999999999,,,,0.7248352
104,,,,,,,,,,,,,,0.6883354,,,,1.048583
105,,,,,,,,,,,,,,0.7713876000000001,,,,1.797912
106,,,,,,,,,,,,,,0.8935084000000001,,,,2.603329
107,,,,,,,,,,,,,,0.8959836999999999,,,,4.1178930000000005
108,,,,,,,,,,,,,,0.9647380999999999,,,,8.363058
109,,,,,,,,,,,,,,1.004316,,,,12.46567
110,,,,,,0.01539294,,,,,,,,,,,,0.01040797
111,,,,,,0.03464131,,,,,,,,,,,,0.02198537
112,,,,,,0.03679492,,,,,,,,,,,,0.02429037
113,,,,,,0.1204458,,,,,,,,,,,,0.08121683
114,,,,,,0.17033610000000002,,,,,,,,,,,,0.1198718
115,,,,,,0.228394,,,,,,,,,,,,0.1601539
116,,,,,,0.29691599999999996,,,,,,,,,,,,0.25099920000000003
117,,,,,,0.400557,,,,,,,,,,,,0.405474
118,,,,,,0.5125622000000001,,,,,,,,,,,,0.7383156
119,,,,,,0.6552897,,,,,,,,,,,,1.027509
120,,,,,,0.7982227,,,,,,,,,,,,1.798446
121,,,,,,0.8336276,,,,,,,,,,,,2.550251
122,,,,,,0.8567630999999999,,,,,,,,,,,,4.116105
123,,,,,,0.9399583,,,,,,,,,,,,8.277838000000001
124,,,,,,0.9836826999999999,,,,,,,,,,,,12.58767
125,,,,,,,,,,0.01177382,,,,,,,,0.01836968
126,,,,,,,,,,0.06791044,,,,,,,,0.02878571
127,,,,,,,,,,0.11812239999999999,,,,,,,,0.06082663
128,,,,,,,,,,0.19300699999999998,,,,,,,,0.1152153
129,,,,,,,,,,0.2699022,,,,,,,,0.2055712
130,,,,,,,,,,0.3405689,,,,,,,,0.35242640000000003
131,,,,,,,,,,0.4711433,,,,,,,,0.6354886
132,,,,,,,,,,0.5706022,,,,,,,,0.9669508
133,,,,,,,,,,0.7279760000000001,,,,,,,,1.6759330000000001
134,,,,,,,,,,0.7448295,,,,,,,,2.4481599999999997
135,,,,,,,,,,0.8381671,,,,,,,,4.034029
136,,,,,,,,,,0.8757077,,,,,,,,6.1953629999999995
137,,,,,,,,,,0.9069215,,,,,,,,8.192737
138,,,,,,,,,,0.8949113999999999,,,,,,,,12.45058
139,,0.01352529,,,,,,,,,,,,,,,,0.012959700000000001
140,,0.030727299999999996,,,,,,,,,,,,,,,,0.02792615
141,,0.05200417,,,,,,,,,,,,,,,,0.05668559
142,,0.08748945,,,,,,,,,,,,,,,,0.08792646
143,,0.12500319999999998,,,,,,,,,,,,,,,,0.131057
144,,0.20391800000000002,,,,,,,,,,,,,,,,0.2224728
145,,0.29724670000000003,,,,,,,,,,,,,,,,0.3629502
146,,0.42782109999999995,,,,,,,,,,,,,,,,0.654465
147,,0.5314174,,,,,,,,,,,,,,,,1.005847
148,,0.6516438,,,,,,,,,,,,,,,,1.760088
149,,0.7035714,,,,,,,,,,,,,,,,2.521322
150,,0.6936791999999999,,,,,,,,,,,,,,,,4.067926
151,,0.869783,,,,,,,,,,,,,,,,8.354267
152,,0.9715206000000001,,,,,,,,,,,,,,,,16.14775
153,,,,0.06402513,,,,,,,,,,,,,,0.01631733
154,,,,0.1197595,,,,,,,,,,,,,,0.033773000000000004
155,,,,0.17550090000000002,,,,,,,,,,,,,,0.0684047
156,,,,0.24705410000000003,,,,,,,,,,,,,,0.08990054
157,,,,0.30282709999999996,,,,,,,,,,,,,,0.1651807
158,,,,0.4325044,,,,,,,,,,,,,,0.28209759999999995
159,,,,0.5241574999999999,,,,,,,,,,,,,,0.4317393
160,,,,0.6538173,,,,,,,,,,,,,,0.7783454000000001
161,,,,0.729834,,,,,,,,,,,,,,1.068384
162,,,,0.8707087,,,,,,,,,,,,,,1.80568
163,,,,0.9041640999999999,,,,,,,,,,,,,,2.669588
164,,,,0.9599791999999999,,,,,,,,,,,,,,4.307405
165,,,,0.9105962,,,,,,,,,,,,,,6.418342
166,,,,0.9351315999999998,,,,,,,,,,,,,,8.512644
167,,,,0.9417145,,,,,,,,,,,,,,12.848460000000001
168,,,,,,,,,,,,,,,,0.02596938,,0.01611945
169,,,,,,,,,,,,,,,,0.06825354,,0.035202300000000006
170,,,,,,,,,,,,,,,,0.13406070000000003,,0.07328256
171,,,,,,,,,,,,,,,,0.22115729999999997,,0.14307070000000002
172,,,,,,,,,,,,,,,,0.3306873,,0.24284210000000003
173,,,,,,,,,,,,,,,,0.43017089999999997,,0.37785240000000003
174,,,,,,,,,,,,,,,,0.6180266,,0.7089943
175,,,,,,,,,,,,,,,,0.7891722,,1.036456
176,,,,,,,,,,,,,,,,0.8326336999999999,,1.8932330000000002
177,,,,,,,,,,,,,,,,0.9107190000000001,,4.393878
178,,,,,,,,,,,,,,,,0.996791,,6.403579
179,,,,,,,,,,,,,,,,0.9082662,,8.504394
180,,,,,,,,,,,,,,,,0.9483975,,14.243820000000001
181,0.03392266,,,,,,,,,,,,,,,,,0.01121893
182,0.0315172,,,,,,,,,,,,,,,,,0.01876152
183,0.05817377,,,,,,,,,,,,,,,,,0.03576567
184,0.10610399999999999,,,,,,,,,,,,,,,,,0.06713437
185,0.1887336,,,,,,,,,,,,,,,,,0.12685819999999998
186,0.2892927,,,,,,,,,,,,,,,,,0.2260013
187,0.3921187,,,,,,,,,,,,,,,,,0.3692507
188,0.5575989,,,,,,,,,,,,,,,,,0.6665512
189,0.6873148,,,,,,,,,,,,,,,,,1.010532
190,0.7699670999999999,,,,,,,,,,,,,,,,,1.779753
191,0.9377563,,,,,,,,,,,,,,,,,2.5874040000000003
192,0.9777630999999999,,,,,,,,,,,,,,,,,6.364634
193,0.988864,,,,,,,,,,,,,,,,,8.483119
194,0.9697045,,,,,,,,,,,,,,,,,12.65425
195,,,,,,,,,,,0.02603956,,,,,,,0.01298098
196,,,,,,,,,,,0.04030389,,,,,,,0.03155812
197,,,,,,,,,,,0.07144854,,,,,,,0.05824695
198,,,,,,,,,,,0.09373984,,,,,,,0.07851144
199,,,,,,,,,,,0.1730112,,,,,,,0.1483385
200,,,,,,,,,,,0.2556864,,,,,,,0.24350029999999998
201,,,,,,,,,,,0.3674605,,,,,,,0.4066816
202,,,,,,,,,,,0.4848157,,,,,,,0.713275
203,,,,,,,,,,,0.5686665,,,,,,,0.9846593000000001
204,,,,,,,,,,,0.7195963000000001,,,,,,,1.7669290000000002
205,,,,,,,,,,,0.8123847,,,,,,,2.575723
206,,,,,,,,,,,0.9275291999999999,,,,,,,4.142375
207,,,,,,,,,,,0.8714139999999999,,,,,,,6.479044
208,,,,,,,,,,,0.9552841000000001,,,,,,,8.427099
209,,,,,,,,,,,0.8947037,,,,,,,12.68855
210,,,,,,,,,,,,,,,0.01376838,,,0.01139433
211,,,,,,,,,,,,,,,0.02473068,,,0.02329193
212,,,,,,,,,,,,,,,0.05806323,,,0.05030183
213,,,,,,,,,,,,,,,0.11269580000000001,,,0.09862252
214,,,,,,,,,,,,,,,0.1774344,,,0.1754717
215,,,,,,,,,,,,,,,0.2634572,,,0.29758559999999995
216,,,,,,,,,,,,,,,0.40094040000000003,,,0.5573691999999999
217,,,,,,,,,,,,,,,0.5228276,,,0.8266705
218,,,,,,,,,,,,,,,0.6491222,,,1.522772
219,,,,,,,,,,,,,,,0.7777222,,,2.283661
220,,,,,,,,,,,,,,,0.8279209999999999,,,3.9100029999999997
221,,,,,,,,,,,,,,,0.8792690999999999,,,6.1062129999999994
222,,,,,,,,,,,,,,,0.9261519,,,9.179922999999999
223,,,,,,,,,,,,,,,0.8924298,,,14.13834
224,,,,,0.01492286,,,,,,,,,,,,,0.01022551
225,,,,,0.01251565,,,,,,,,,,,,,0.01719304
226,,,,,0.02346215,,,,,,,,,,,,,0.03690022
227,,,,,0.03343139,,,,,,,,,,,,,0.05108001
228,,,,,0.0679272,,,,,,,,,,,,,0.09635406
229,,,,,0.1147556,,,,,,,,,,,,,0.17132479999999997
230,,,,,0.1884774,,,,,,,,,,,,,0.2796241
231,,,,,0.30023390000000005,,,,,,,,,,,,,0.49299259999999995
232,,,,,0.37065549999999997,,,,,,,,,,,,,0.6729095
233,,,,,0.5439345999999999,,,,,,,,,,,,,1.361332
234,,,,,0.6759050999999999,,,,,,,,,,,,,1.9658759999999997
235,,,,,0.7854140000000001,,,,,,,,,,,,,3.5607559999999996
236,,,,,0.8322845,,,,,,,,,,,,,5.5598980000000005
237,,,,,0.8747159999999999,,,,,,,,,,,,,7.705445
238,,,,,0.8678488000000001,,,,,,,,,,,,,12.27113
