rtot-count,rtot-mmol
24k,0.001439
43k,0.002422
92k,0.003392
120k,0.002718
231k,0.01216
447k,0.02594
20k,0.0005889
46k,0.002544
187k,0.00643
256k,0.01263
1200k,0.05509
12k,0.001193
82k,0.003513
107k,0.006083
387k,0.01968
502k,0.03013
1600k,0.0925
